part_number,description
MS20426AD3-4,MS20426AD3-4 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD3-4C,MS20426AD3-4C - Flush Head Rivet Package - 100 Pc Bag
MS20426AD3-5,MS20426AD3-5 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD3-5C,MS20426AD3-5C - Flush Head Rivet Package - 100 Pc Bag
MS20426AD3-6,MS20426AD3-6 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD3-8,MS20426AD3-8 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-10,MS20426AD4-10 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-12,MS20426AD4-12 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-16,MS20426AD4-16 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-3,MS20426AD4-3 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-3C,MS20426AD4-3C - Diameter 1/8 Length 3/16
MS20426AD4-4,MS20426AD4-4 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-4C,MS20426AD4-4C - Flush Head Rivet Package - 100 Pc Bag
MS20426AD4-5,MS20426AD4-5 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-5.5,MS20426AD4-5.5 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-5C,MS20426AD4-5C - fill in later
MS20426AD4-6,MS20426AD4-6 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-7,MS20426AD4-7 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-8,MS20426AD4-8 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD4-9,MS20426AD4-9 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD5-10,MS20426AD5-10 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD5-12,MS20426AD5-12 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD5-16,MS20426AD5-16 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD5-4,MS20426AD5-4 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD5-5,MS20426AD5-5 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD5-6,MS20426AD5-6 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD5-8,MS20426AD5-8 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD6-12,MS20426AD6-12 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD3-3,MS20470AD3-3 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD3-4,MS20470AD3-4 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD3-5,MS20470AD3-5 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD3-6,MS20470AD3-6 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD3-8,MS20470AD3-8 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD4-10,MS20470AD4-10 - Universal Head Rivet Package - 1 Pound per Unit Ordered
