kit_part_number,component_part_number,line_number,qty_per_kit,uom
B55-BD,SK294290-2-170W,1,2,ea
B55-BD,SK99836S,2,2,ea
B55-C1,SK4002-2S,1,6,ea
B55-C1,SK4002-3S,2,24,ea
B55-C1,SK4002-4S,3,7,ea
B55-C1,SK4002-5S,4,4,ea
B55-C1,SK4002-6S,5,2,ea
B55-C1,SK4002-7S,6,5,ea
B55-C1,SK-GS,7,44,ea
B55-C1,SK-R4GS,8,44,ea
B55-C1,MS24693-C50,9,25,ea
B55-C1,MS24693-C272,10,100,ea
B55-C1P,SK40S5-2S,1,6,ea
B55-C1P,SK40S5-3S,2,24,ea
B55-C1P,SK40S5-4S,3,7,ea
B55-C1P,SK40S5-5S,4,4,ea
B55-C1P,SK40S5-6S,5,2,ea
B55-C1P,SK40S5-7S,6,5,ea
B55-C1P,SK-GS,7,44,ea
B55-C1P,SK-R4GS,8,44,ea
B55-C1P,MS24693-C50,9,25,ea
B55-C1P,MS24693-C272,10,100,ea
B55-C2,SK4002-3S,1,3,ea
B55-C2,SK4002-4S,2,28,ea
B55-C2,SK4002-5S,3,13,ea
B55-C2,SK4002-6S,4,2,ea
B55-C2,SK-GS,5,42,ea
B55-C2,SK-R4GS,6,42,ea
B55-C2,MS24693-C50,7,25,ea
B55-C2,MS24693-C272,8,100,ea
B55-C2P,SK40S5-3S,1,3,ea
B55-C2P,SK40S5-4S,2,28,ea
B55-C2P,SK40S5-5S,3,13,ea
B55-C2P,SK40S5-6S,4,2,ea
B55-C2P,SK-GS,5,42,ea
B55-C2P,SK-R4GS,6,42,ea
B55-C2P,MS24693-C50,7,25,ea
B55-C2P,MS24693-C272,8,100,ea
B55-EP,SKFJ4-30SS,1,16,ea
B55-EP,SR4SS,2,16,ea
B55-EP,SKGF4-150,3,16,ea
B55-EPD,SKAJ4-30SS,1,1,ea
B55-EPD,SKGA4-250,2,1,ea
B55-FG,SK294186-1-120,1,6,ea
B55-FG,SK99836S,2,6,ea
B55-NC,SKFJ5-35SS,1,24,ea
B55-NC,SKGF5-225,2,24,ea
B55-NP1,SKFJ4-30SS,1,52,ea
B55-NP1,SR4SS,2,52,ea
B55-NP1,SKGF4-150,3,52,ea
B55-NP2,SK294186-1-090,1,96,ea
B55-NP2,SK99836S,2,96,ea
B55-RAD,SK294290-2-170,1,3,ea
B55-RAD,SK99836S,2,3,ea
B56-C1P,SK40S5-2S,1,6,ea
B56-C1P,SK40S5-3S,2,28,ea
B56-C1P,SK40S5-4S,3,4,ea
B56-C1P,SK40S5-5S,4,4,ea
B56-C1P,SK-GS,5,32,ea
B56-C1P,SK-R4GS,6,32,ea
B56-C1P,MS24693-C50,7,25,ea
B56-C1P,MS24693-C272,8,100,ea
B58P-AS1,SKAJ4-30SS,1,16,ea
B58P-AS1,SKGA4-250,2,16,ea
B60-C1,SK4002-2S,1,5,ea
B60-C1,SK4002-3S,2,39,ea
B60-C1,SK4002-4S,3,5,ea
B60-C1,SK-GS,4,48,ea
B60-C1,SK-R4GS,5,48,ea
B60-C1,MS24693-C271,6,50,ea
B60-C1,MS24693-C272,7,200,ea
B60-C1P,SK40S5-2S,1,5,ea
B60-C1P,SK40S5-3S,2,39,ea
B60-C1P,SK40S5-4S,3,5,ea
B60-C1P,SK-GS,4,48,ea
B60-C1P,SK-R4GS,5,48,ea
B60-C1P,MS24693-C271,6,50,ea
B60-C1P,MS24693-C272,7,200,ea
