so_number,kit_part_number,qty_ordered,qty_shipped,invoice_numbers
13721,SK203C182P-FW4,1,1,13721
13721,SK4P3-T26,3,3,13721
13730,KA90-NP1,1,1,13730
13731,SK203C182P4,1,1,13731
13740,RV8J-C1P-F,1,1,13740
13743,SK26S51-SET1,20,20,13743
13775,SK203C182P4,1,1,13775
13782,SK40S5-SET1,4,4,13782
13786,SK4P3-T26,1,1,13786
13841,RV1014J-C1S-UF,1,1,13841
13843,B35LC40P,1,1,"13843, 13843, 02"
13843,C100-EPD1P,2,2,"13843, 13843, 02"
13843,C172-C1P,4,4,"13843, 13843, 02"
13843,RV679J-C1P-F,1,1,"13843, 13843, 02"
13843,SK203C172P4,8,8,"13843, 13843, 02"
13845,C180-C2P,1,1,"13845, 13845, 02, 13845, 03, 13845, 04"
13845,RV-OD1,3,3,"13845, 13845, 02, 13845, 03, 13845, 04"
13845,RV679J-C1P,1,1,"13845, 13845, 02, 13845, 03, 13845, 04"
13845,SK203C172P-XP4,1,1,"13845, 13845, 02, 13845, 03, 13845, 04"
13850,PA600-C1P,1,1,13850
13864,SK203C172P4,1,1,13864
13864,SK4P3-T26,1,1,13864
13880,PA-CHEYENNE,2,2,13880
13888,SK2600-TS1,1,1,13888
13888,ZG28S3-SET1,40,40,13888
13896,C-172/172RG,1,1,13896
13904,SKN4-4S SET,10,10,"13904, 13904, 02"
13918,SK26S51-SET2,4,4,13918
13922,SK203C172P4,1,1,13922
13923,C205-C1P,1,1,13923
13928,B35LC40S,1,1,13928
13937,RV8J-C1P-F,1,1,13937
13939,RV-OD1,1,1,13939
13939,RV4J-C1P,1,1,13939
13939,SK4002-TS2,1,1,13939
13975,SK203C172P4,4,4,"13975, 13975, 02"
13975,SK4P3-T26,2,2,"13975, 13975, 02"
13977,B35UC40P,2,2,"13977, 13977, 02"
13977,RV-OD1,6,6,"13977, 13977, 02"
13977,SK203C150P4,1,1,"13977, 13977, 02"
13978,RV-OD1,3,3,"13978, 13978, 02"
13978,RV679J-C1P,1,1,"13978, 13978, 02"
13993,C150-FT1,1,1,13993
13993,SK203C150P4,1,1,13993
14003,SK4P3-T26,1,1,14003
14005,ZG28S3-SET1,6,6,14005
14006,SK203C172P4,1,1,14006
14016,C172-C1P,1,1,14016
14030,C-210,1,1,14030
14030,C210-C2P,1,1,14030
